/opt/conda/envs/python35-paddle120-env/lib/python3.7/site-packages/paddle/fluid/layers/utils.py:26: DeprecationWarning: `np.int` is a deprecated alias for the builtin `int`. To silence this warning, use `int` by itself. Doing this will not modify any behavior and is safe. When replacing `np.int`, you may wish to use e.g. `np.int64` or `np.int32` to specify the precision. If you wish to review your current use, check the release note link for additional information.
Deprecated in NumPy 1.20; for more details and guidance: https://numpy.org/devdocs/release/1.20.0-notes.html#deprecations
  def convert_to_list(value, n, name, dtype=np.int):
W0806 17:25:53.045753  2657 device_context.cc:362] Please NOTE: device: 0, GPU Compute Capability: 7.0, Driver API Version: 10.1, Runtime API Version: 10.1
W0806 17:25:53.049769  2657 device_context.cc:372] device: 0, cuDNN Version: 7.6.
Epoch 0: PiecewiseDecay set learning rate to 0.05.
iter:0  loss:2.4832
iter:10  loss:2.3544
iter:20  loss:2.3087
iter:30  loss:2.2509
iter:40  loss:2.2450
iter:50  loss:2.2219
iter:60  loss:2.1930
iter:70  loss:2.1654
iter:80  loss:2.1200
iter:90  loss:2.0894
iter:100  loss:2.0571
iter:110  loss:2.0415
iter:120  loss:2.0197
iter:130  loss:1.9995
iter:140  loss:1.9726
iter:150  loss:1.9527
iter:160  loss:1.9284
iter:170  loss:1.9026
iter:180  loss:1.8815
iter:190  loss:1.8617
iter:200  loss:1.8383
iter:210  loss:1.8181
iter:220  loss:1.7992
iter:230  loss:1.7794
iter:240  loss:1.7594
iter:250  loss:1.7397
iter:260  loss:1.7298
iter:270  loss:1.7171
iter:280  loss:1.7038
iter:290  loss:1.6897
iter:300  loss:1.6763
iter:310  loss:1.6616
iter:320  loss:1.6467
iter:330  loss:1.6333
iter:340  loss:1.6193
iter:350  loss:1.6075
iter:360  loss:1.5952
iter:370  loss:1.5820
iter:380  loss:1.5702
iter:390  loss:1.5578
Time per epoch:658.40,loss:1.5578
Epoch 1: PiecewiseDecay set learning rate to 0.05.
iter:0  loss:1.5563
iter:10  loss:1.5424
iter:20  loss:1.5293
iter:30  loss:1.5190
iter:40  loss:1.5103
iter:50  loss:1.5005
iter:60  loss:1.4910
iter:70  loss:1.4811
iter:80  loss:1.4729
iter:90  loss:1.4650
